,ジャンル,単語,拼音,日本語訳,補足説明,例文,例文の修正案
378,SNS・ネットスラング,种草,zhòng cǎo,欲しくさせる・気になる,商品やスポットへの欲求を植え付けること。,被你种草了，我也想买。/ あなたのせいで欲しくなった、私も買いたい。,
379,SNS・ネットスラング,拔草,bá cǎo,実際に購入・確かめに行く,「种草」の後に実行する行為。,终于去拔草了，果然好吃。/ やっと行って確かめた、やっぱり美味しかった。,
380,SNS・ネットスラング,踩雷,cǎi léi,地雷を踏む・ハズレを引く,期待外れの体験をすること。,这家店踩雷了，完全不好吃。/ この店は地雷だった、全然美味しくない。,
381,SNS・ネットスラング,避雷,bì léi,地雷を避ける・注意喚起,悪い体験を他人に警告すること。,来避雷，这个产品别买。/ 地雷情報、この製品は買わないで。,
382,SNS・ネットスラング,省流,shěng liú,まとめると・要するに,「省流量版本」の略。長い話の要約。,省流：他们分手了。/ まとめると：彼らは別れた。,
383,SNS・ネットスラング,名场面,míng chǎngmiàn,名シーン・伝説の場面,印象的なシーンや出来事。,这是今年的名场面之一。/ これが今年の名シーンの一つ。,
384,SNS・ネットスラング,梗,gěng,ネタ・ミーム,インターネット上で流行する笑いのネタ。,这个梗我不懂，解释一下。/ このネタわからない、説明して。,
385,SNS・ネットスラング,整活博主,zhěng huó bózhǔ,ネタ系インフルエンサー,面白いコンテンツを作ることに特化したブロガー。,他是整活博主，每天发搞笑视频。/ 彼はネタ系インフルエンサー、毎日面白い動画を出す。,
386,SNS・ネットスラング,多巴胺穿搭,duōbāmàn chuāndā,ドーパミン系コーデ・明るい服装,テンションが上がるカラフルな着こなし。,今天穿了个多巴胺穿搭，好开心。/ 今日ドーパミン系コーデにした、テンション上がる。,
387,SNS・ネットスラング,松弛感,sōngchí gǎn,余裕感・リラックス感,力が抜けた自然体の魅力。,她身上有种松弛感，很有魅力。/ 彼女には余裕感があって、魅力的。,
388,SNS・ネットスラング,反向种草,fǎnxiàng zhòng cǎo,逆に興味を失わせる,批判的なレビューが逆に購買意欲を下げること。,他的评测反向种草了，我不想买了。/ 彼のレビューで逆に買いたくなくなった。,
389,SNS・ネットスラング,爆梗,bào gěng,バズりネタ・爆発的ヒットミーム,爆発的に広まったネタ。,这个爆梗已经烂大街了。/ このバズりネタはもう使い古された。,
390,SNS・ネットスラング,烂大街,làn dàjiē,ありきたり・どこにでもある,「もう見飽きた」という感覚。,这个滤镜烂大街了，换一个。/ このフィルターはもう使い古された、別のにして。,
391,SNS・ネットスラング,塌房,tā fáng,推しが炎上する・アイドルのスキャンダル,応援していた人が問題を起こすこと。,我的爱豆塌房了，好难受。/ 推しが炎上して、つらい。,
392,SNS・ネットスラング,爱豆,àidòu,推し・アイドル,英語「idol」の中国語表記。,你的爱豆是谁？/ 推しは誰？,
393,SNS・ネットスラング,粉圈,fěn quān,ファンコミュニティ・オタク界隈,特定の芸能人のファンが集まるコミュニティ。,粉圈文化太复杂了，看不懂。/ ファンコミュニティの文化は複雑で、わからない。,
394,SNS・ネットスラング,饭圈,fàn quān,アイドルオタク界隈,アイドルの熱狂的なファン文化。,饭圈太疯狂了，有点可怕。/ アイドルオタク界隈は狂いすぎで、少し怖い。,
395,SNS・ネットスラング,黑粉,hēi fěn,アンチファン,嫌いなのに関わり続けるファン。,他有很多黑粉，老是来骂他。/ 彼にはアンチが多くて、いつも叩きに来る。,
396,SNS・ネットスラング,路人盘,lùrén pán,一般人の目線・一般受け,特定のファンでない一般人からの評価。,路人盘来看，这首歌还不错。/ 一般人の目線から見ると、この曲悪くない。,
397,SNS・ネットスラング,你好香,nǐ hǎo xiāng,あなたいいな・すごく魅力的,人や物への強い肯定的反応。,这个男主好香，喜欢死了。/ この主人公すごくいい、めちゃくちゃ好き。,
398,SNS・ネットスラング,磕CP,kē CP,カップリングを楽しむ,実在や架空のカップルを応援すること。,我在磕这对CP，太甜了。/ このカップリングを楽しんでる、甘すぎる。,
399,SNS・ネットスラング,糖,táng,甘い展開・胸キュン,カップルの甜い瞬間を指す。,这对CP喂了好多糖！/ このカップルがいっぱい甘い展開をくれた！,
400,SNS・ネットスラング,发糖,fā táng,甘い場面を提供する,カップルが甘い瞬間を見せること。,他们今天发糖了，粉丝很激动。/ 彼らが今日甘い場面を見せて、ファンが興奮した。,他们今天发糖了，粉丝很激动。/ 彼らが今日甘い場面を見せて、ファンが興奮した。
401,SNS・ネットスラング,嗑生嗑死,kē shēng kē sǐ,カップリングにどっぷりハマる,カップリングを極限まで楽しむこと。,这对CP让我嗑生嗑死。/ このカップリングにどっぷりハマってる。,
402,SNS・ネットスラング,数字人,shùzì rén,バーチャルインフルエンサー,AIや3DCGで作られた仮想の人物。,现在数字人主播越来越多了。/ 最近バーチャルインフルエンサーが増えてきた。,现在数字人主播越来越多了。/ 最近バーチャルインフルエンサーが増えてきた。
403,SNS・ネットスラング,网红,wǎnghóng,インフルエンサー・バズったもの,SNSで有名な人や場所・商品。,这家是网红店，人很多。/ ここはインスタ映えの店で、人が多い。,
404,食事・飲み会,好吃到爆,hǎo chī dào bào,爆発するほどうまい,「爆」を使った誇張表現。,这个蛋糕好吃到爆！/ このケーキ爆発するほどうまい！,
405,食事・飲み会,绝了,jué le,最高・やばすぎ（食事版）,食べ物への最高の賛辞。,这碗面绝了，以后常来。/ このラーメン最高、また来よう。,
406,食事・飲み会,一绝,yī jué,絶品・一品,特に優れた一品を指す表現。,他家的烤鸭真是一绝。/ あの店の北京ダックは絶品だ。,
407,食事・飲み会,上瘾,shàng yǐn,ハマった・やみつき,食べ物だけでなく趣味にも使う。,这个辣条上瘾了，停不下来。/ このスナックにやみつきになって、止められない。,
408,食事・飲み会,解馋,jiě chán,ずっと食べたかったものが食べられた,食欲が満たされた満足感。,终于吃到了，解馋了。/ やっと食べられた、ずっと食べたかったから。,
409,食事・飲み会,馋了,chán le,食べたくなった・よだれが出た,何かを見て食欲が刺激されたとき。,看到你发的照片，我馋了。/ あなたの写真を見て、食べたくなった。,
410,食事・飲み会,流口水,liú kǒushuǐ,よだれが出る,美味しそうなものを見たときの反応。,这个看起来好好吃，流口水了。/ これ美味しそう、よだれが出てきた。,
411,食事・飲み会,下饭,xià fàn,ご飯が進む,ご飯と一緒に食べるのが最高なおかず。,这个菜太下饭了！/ このおかずご飯がめちゃくちゃ進む！,
412,食事・飲み会,米饭杀手,mǐfàn shāshǒu,ご飯キラー・ご飯が止まらなくなる料理,ご飯をどんどん食べさせる料理の愛称。,这道红烧肉是米饭杀手。/ この豚の角煮はご飯キラーだ。,
413,食事・飲み会,续摊,xù tān,二次会に行く,「走，续摊！」=行こう、次の店！,吃完了，要不要去续摊？/ 食べ終わったけど、二次会行く？,
414,食事・飲み会,整一顿,zhěng yí dùn,一発やる・飯行こう,「整一顿烤肉」=焼き肉しようぜ,周末整一顿火锅怎么样？/ 週末火鍋一発どう？,
415,食事・飲み会,搞,gǎo,やる・調達する（食事版）,「搞点吃的」=何か食べるもの用意して,去搞点吃的，饿了。/ 何か食べるもの調達してきて、お腹空いた。,
416,食事・飲み会,撸串,lǔ chuàn,串焼きを食べる,友達と屋台串焼きを楽しむ定番表現。,晚上去撸串吧！/ 今夜串焼き食べに行こう！,
417,食事・飲み会,干了,gān le,乾杯・飲み干す,乾杯の「干杯」と同じ。「干！」だけでもOK,来，干了这杯！/ さあ、この杯を飲み干そう！,
418,食事・飲み会,满上,mǎn shàng,なみなみ注いで・満杯にして,飲み物を満タンにするよう頼む表現。,给我满上，今晚喝个痛快。/ なみなみ注いで、今夜思いっきり飲む。,
419,食事・飲み会,喝大了,hē dà le,酔っ払った・飲みすぎた,お酒を飲みすぎた状態。,今晚喝大了，头疼。/ 今夜飲みすぎた、頭が痛い。,
420,食事・飲み会,醒酒,xǐng jiǔ,酔いを覚ます・解毒する,お酒を飲んだ後に酔いを覚ます行為。,喝点水醒醒酒。/ 水飲んで酔いを覚ますよ。,
421,食事・飲み会,扶墙走,fú qiáng zǒu,食べ過ぎて壁伝いに歩く,「吃到扶墙走」=満腹を通り越した表現,吃到扶墙走了，太撑了。/ 食べすぎて壁伝いに歩くほど、お腹がパンパン。,
422,食事・飲み会,撑死了,chēng sǐ le,食べ過ぎて死にそう,満腹の誇張表現。,吃太多了，撑死了！/ 食べすぎて死にそう！,
423,食事・飲み会,不够吃,bú gòu chī,足りない・物足りない,量が少なくて物足りないとき。,这点菜不够吃，再加一个。/ この量じゃ足りない、もう一品追加して。,
424,食事・飲み会,打包,dǎbāo,持ち帰り・テイクアウト,食べ残しを持ち帰ること。,吃不完，打包带走吧。/ 食べきれない、持ち帰ろう。,
425,食事・飲み会,外卖,wàimài,デリバリー・出前,フードデリバリーサービス。,今天懒得做饭，叫外卖吧。/ 今日料理するの面倒くさい、デリバリーにしよう。,
426,食事・飲み会,报复性进食,bàofù xìng jìn shí,やけ食い・リベンジイーティング,ストレスで過食すること。,失恋了，开始报复性进食。/ 失恋して、やけ食いが始まった。,
427,食事・飲み会,嘴馋,zuǐchán,食い意地が張っている・食いしん坊,食べることへの強い欲求。,我就是嘴馋，忍不住吃。/ 私は食いしん坊で、食べるのを我慢できない。,
428,食事・飲み会,吃货,chīhuò,食いしん坊・グルメ,食べることが大好きな人。,我是个吃货，到哪都找好吃的。/ 私は食いしん坊、どこ行っても美食を探す。,
429,食事・飲み会,探店,tàn diàn,レストランを開拓する,新しい飲食店を訪れてレビューすること。,周末去探店，试试那家新开的。/ 週末に新しい店を開拓しに行こう。,
430,食事・飲み会,人均,rénjūn,一人当たり,一人当たりの費用を指す。,这家人均两百，有点贵。/ この店は一人二百元、ちょっと高い。,
431,食事・飲み会,性价比,xìng jià bǐ,コスパ・費用対効果,値段に対する価値の比率。,这家性价比很高，量大味好。/ この店はコスパが高くて、量も多くて美味しい。,
432,食事・飲み会,超值,chāo zhí,超コスパ・超お得,価格以上の価値があること。,这个套餐超值，强烈推荐。/ このセットは超コスパ、強くおすすめ。,
433,食事・飲み会,踩雷了,cǎi léi le,地雷だった・ハズレだった,期待外れの食事体験。,这家店踩雷了，完全名不副实。/ この店は地雷だった、全然期待外れ。,
434,食事・飲み会,翻台率,fān tái lǜ,テーブルの回転率,飲食店の混み具合の指標。,这家店翻台率很高，吃完就走。/ この店は回転が速くて、食べたらすぐ出る。,
435,食事・飲み会,催单,cuī dān,注文を急かす,店側が早く注文するよう促すこと。,刚坐下就催单，太着急了。/ 座ったばかりなのに注文を急かして、せっかちだ。,
436,食事・飲み会,开胃,kāi wèi,食欲増進・食欲をそそる,食欲が出る料理や状況。,这个小菜很开胃，先吃这个。/ この前菜は食欲増進で、まずこれから食べよう。,
437,食事・飲み会,酒足饭饱,jiǔ zú fàn bǎo,飲み食いして大満足,飲み会や食事が大満足だったとき。,今晚酒足饭饱，谢谢款待。/ 今夜は飲み食いして大満足、もてなしてくれてありがとう。,
438,食事・飲み会,搓一顿,cuō yí dùn,一食楽しむ・飯を囲む,友人と食事を囲んで楽しむこと。,难得聚在一起，好好搓一顿。/ たまに集まったんだから、しっかり食事を楽しもう。,
439,食事・飲み会,AA制,A A zhì,割り勘,費用を均等に割ること。,今天AA制，各付各的。/ 今日は割り勘、各自払いで。,
440,食事・飲み会,抢着付,qiǎng zhe fù,競っておごろうとする,誰がお金を払うか競い合う光景。,大家都抢着付，结果打起来了。/ みんなが競っておごろうとして、もめた。,
441,食事・飲み会,不醉不归,bú zuì bù guī,酔うまで帰らない,徹底的に飲むときの掛け声。,今晚不醉不归！/ 今夜は酔うまで帰らない！,
442,食事・飲み会,喝到位,hē dào wèi,十分に飲んだ・飲みごたえがある,飲み会が十分に楽しめたとき。,今晚喝到位了，很尽兴。/ 今夜は十分飲んだ、楽しかった。,
443,食事・飲み会,喝个痛快,hē ge tòngkuài,思いっきり飲む,遠慮なく飲むときの表現。,今晚喝个痛快，不管了。/ 今夜は思いっきり飲む、もう知らない。,
444,旅行・買い物,打卡,dǎ kǎ,チェックイン・映え写真を撮る,SNS投稿目的で有名スポットを訪れること。,这个网红店打卡了！/ このインスタ映えスポットでチェックインした！,
445,旅行・買い物,网红打卡地,wǎnghóng dǎ kǎ dì,インスタ映えスポット,SNSで話題になった人気スポット。,这里是最近很火的网红打卡地。/ ここは最近話題のインスタ映えスポット。,
446,旅行・買い物,出片,chū piàn,映える写真が撮れる,映える写真が撮れる場所や状況。,这里出片率很高，每张都好看。/ ここは映え率が高くて、どの写真も綺麗。,
447,旅行・買い物,拍照圣地,pāizhào shèngdì,フォトスポット・撮影聖地,写真が映える場所。,这是拍照圣地，来拍几张。/ ここはフォトスポット、何枚か撮ろう。,
448,旅行・買い物,坑,kēng,地雷・ハズレ・ぼったくり,「这家店太坑了」=この店はひどい,这家店太坑了，别来。/ この店はひどい、来ないで。,
449,旅行・買い物,宰客,zǎi kè,ぼったくる・客をカモにする,観光地などで不当に高い値段をとること。,这里专门宰游客，要小心。/ ここは観光客をぼったくることで有名、気をつけて。,
450,旅行・買い物,溜达,liūda,ぶらぶら散歩する,「出去溜达溜达」=ちょっとぶらっとしてくる,出去溜达溜达，散散心。/ ちょっとぶらっとして、気分転換しよう。,
451,旅行・買い物,扫货,sǎo huò,根こそぎ買う・爆買い,大量に買い物をすること。,去免税店扫了一波货。/ 免税店で爆買いしてきた。,
452,旅行・買い物,血拼,xuè pīn,ショッピングに血道を上げる,英語「shopping」からの当て字発音。,黑五去血拼了，买了好多。/ ブラックフライデーに爆買いした、たくさん買った。,
453,旅行・買い物,剁手,duò shǒu,衝動買いを我慢する・衝動買い,「剁手党」=衝動買いをやめられない人。,又下单了，真是剁手剁不完。/ またポチった、本当に衝動買いが止まらない。,
454,旅行・買い物,剁手党,duò shǒu dǎng,衝動買い族,衝動買いをやめられない人たち。,我是剁手党，看到好的就想买。/ 私は衝動買い族、良いものを見るとすぐ買いたくなる。,
455,旅行・買い物,囤货,tún huò,ストックする・買いだめする,大量に買いだめすること。,双十一囤了一堆护肤品。/ 双十一で大量にスキンケア用品を買いだめした。,
456,旅行・買い物,双十一,shuāng shí yī,ダブルイレブン・独身の日セール,11月11日の大規模セール。,双十一要买什么？/ ダブルイレブンで何買う？,
457,旅行・買い物,砍价,kǎnjià,値切る・値段交渉する,価格を下げるよう交渉すること。,这个能砍价吗，太贵了。/ これ値切れますか、高すぎる。,
458,旅行・買い物,包邮,bāo yóu,送料無料,送料込みの価格であること。,这个包邮吗？/ これは送料無料ですか？,
459,旅行・買い物,到付,dào fù,着払い,受け取り時に支払う配送方法。,可以到付吗？/ 着払いにできますか？,
460,旅行・買い物,退款,tuìkuǎn,返金する,購入した商品の代金を返してもらうこと。,这个质量不好，申请退款了。/ 品質が悪いので、返金申請した。,
461,旅行・買い物,退货,tuìhuò,返品する,購入した商品を返すこと。,尺寸不合适，需要退货。/ サイズが合わないので、返品が必要です。,
462,旅行・買い物,好评,hǎo píng,高評価・ポジティブレビュー,商品やサービスへの良い評価。,麻烦给个好评，谢谢。/ 高評価をお願いします、ありがとう。,
463,旅行・買い物,差评,chā píng,低評価・ネガティブレビュー,「好评」の対義語。,质量太差，给了差评。/ 品質が悪くて、低評価をつけた。,
464,旅行・買い物,货比三家,huò bǐ sān jiā,三件比べて買う・比較検討する,購入前に複数の店を比較すること。,买东西要货比三家，不要冲动。/ 買い物は比較してから、衝動買いしないで。,
465,旅行・買い物,种草了,zhòng cǎo le,欲しくなった・気になる,商品への購買意欲が湧いたとき。,被你种草了，去买了一样的。/ あなたのせいで欲しくなって、同じのを買いに行った。,
466,旅行・買い物,拔草了,bá cǎo le,実際に買った・行ってみた,気になっていたものを実際に試すこと。,终于拔草了，果然好用。/ やっと買ってみた、やっぱり使いやすい。,
467,旅行・買い物,智商税,zhìshāng shuì,馬鹿税・無駄な出費,賢くなければ払ってしまうような無駄遣い。,这个产品就是智商税，别买。/ この商品は馬鹿税、買わないで。,
468,旅行・買い物,割韭菜,gē jiǔcài,カモにする・搾り取る,消費者を騙してお金を取ること。,这个品牌就是在割韭菜。/ このブランドは消費者をカモにしている。,
469,旅行・買い物,联名,liánmíng,コラボ,ブランド同士のコラボレーション。,这个联名款太好看了！/ このコラボデザイン最高！,
470,旅行・買い物,断货,duàn huò,売り切れ・在庫なし,在庫がなくなること。,太火了，已经断货了。/ 人気すぎて、もう売り切れた。,
471,旅行・買い物,补货,bǔ huò,補充・再入荷,在庫が補充されること。,什么时候补货？/ いつ再入荷しますか？,
472,旅行・買い物,性价比高,xìng jià bǐ gāo,コスパが高い,値段に対して価値が高い商品。,这款手机性价比高，推荐。/ このスマホはコスパが高い、おすすめ。,
473,旅行・買い物,平替,píngtì,安い代替品・プチプラ版,高級品の代わりになる安価な選択肢。,这个是那个大牌的平替，效果一样。/ これはあのブランド品の安い代替品で、効果は同じ。,
474,旅行・買い物,大牌,dàpái,有名ブランド・高級ブランド,知名度の高い一流ブランド。,她全身大牌，有钱。/ 彼女は全身ブランド品、お金持ちだ。,
475,旅行・買い物,平价,píngjià,プチプラ・リーズナブル,手頃な価格の商品。,这个牌子平价又好用。/ このブランドはプチプラで使いやすい。,
476,旅行・買い物,氛围感,fēnwéi gǎn,雰囲気感・ムード,特定の雰囲気やムードを醸し出すこと。,这家咖啡店氛围感很好，适合拍照。/ このカフェは雰囲気がよくて、写真撮るのに向いてる。,
477,旅行・買い物,打卡完毕,dǎ kǎ wánbì,チェックイン完了,目的のスポットや店を訪問し終えたとき。,网红店打卡完毕，下一站。/ インスタ映えスポットのチェックイン完了、次の場所へ。,
478,旅行・買い物,特种兵旅游,tèzhǒng bīng lǚyóu,弾丸旅行・特殊部隊旅行,短期間で多くの場所を回る超効率的旅行。,来个特种兵旅游，一天逛完全城。/ 弾丸旅行で、一日で全部回ろう。,
479,旅行・買い物,附近游,fùjìn yóu,近場旅行・近郊旅行,近くの場所への旅行。,不用去远处，附近游也不错。/ 遠くに行かなくても、近場旅行もいい。,
480,旅行・買い物,沉浸式,chénjìn shì,没入型・イマーシブ,体験に完全に没入できるスタイル。,这是沉浸式体验馆，很有趣。/ ここは没入型体験施設で、面白い。,
481,旅行・買い物,特种兵,tèzhǒng bīng,弾丸族・超効率旅行者,短時間で最大限楽しもうとする旅行者。,我是特种兵，一天游完北京。/ 私は弾丸族、一日で北京を回り切った。,
482,旅行・買い物,旅游攻略,lǚyóu gōnglüè,旅行攻略・旅行ガイド,旅行の情報をまとめたガイド。,出发前看了很多旅游攻略。/ 出発前にたくさん旅行ガイドを見た。,
483,旅行・買い物,踩坑,cǎi kēng,失敗する・ハマる,「踩雷」と同じく失敗体験を表す。,第一次去踩坑了，下次注意。/ 初めて行って失敗した、次回気をつける。,
484,旅行・買い物,排长队,pái cháng duì,長蛇の列に並ぶ,非常に長い行列ができているとき。,这家店要排长队，等了两小时。/ この店は長蛇の列で、二時間待った。,
485,旅行・買い物,拼车,pīn chē,相乗り・ライドシェア,他の人と車を共有すること。,拼车去机场，省钱。/ 空港まで相乗りで、節約になる。,
486,旅行・買い物,候补票,hòubǔ piào,キャンセル待ちチケット,チケットのキャンセル待ち。,买不到票，去候补吧。/ チケットが買えないから、キャンセル待ちにしよう。,
487,旅行・買い物,熟客,shúkè,常連客,よく通う常連のお客さん。,我是这家店的熟客了，老板认识我。/ 私はこの店の常連で、店主が私を知ってる。,
488,旅行・買い物,回头客,huítóu kè,リピーター,また来てくれるお客さん。,东西好吃才有回头客。/ 美味しくないとリピーターは来ない。,
489,旅行・買い物,爆款,bào kuǎn,バズり商品・ヒット,爆発的に人気になった商品やコンテンツ。,这条视频成了爆款。/ この動画がバズった。,
490,旅行・買い物,网红店,wǎnghóng diàn,インスタ映えの店,SNSで話題になった人気店。,这家是网红店，人很多。/ ここはインスタ映えの店で、人が多い。,
491,旅行・買い物,打折,dǎzhé,割引する,価格を割り引くこと。,现在打折，快买。/ 今割引中、早く買って。,
492,旅行・買い物,秒杀,miǎoshā,タイムセール・即完売,短時間限定のセールや即完売すること。,这个秒杀活动，抢到了！/ このタイムセール、ゲットした！,
493,旅行・買い物,满减,mǎnjiǎn,〇円以上で割引,一定金額以上で割引されること。,满100减20，划算。/ 100元以上で20元引き、お得。,
494,旅行・買い物,代购,dàigòu,代理購入,他人に代わって商品を購入すること。,找朋友代购，省运费。/ 友達に代理購入してもらって、送料を節約。,
495,旅行・買い物,海淘,hǎitáo,海外通販,海外サイトで商品を購入すること。,海淘买的，便宜很多。/ 海外通販で買ったから、ずっと安い。,
496,旅行・買い物,二手,èrshǒu,中古,一度使用された商品。,买二手的，省了一半钱。/ 中古を買って、半分節約した。,
497,旅行・買い物,闲置,xiánzhì,使わなくなったもの・眠っている物,持っているが使っていない物。,家里有很多闲置，卖掉吧。/ 家に使わないものがたくさん、売ろう。,
498,旅行・買い物,转让,zhuǎnràng,譲る・売る,所有物を他人に渡すこと。,这个包包转让，有人要吗？/ このバッグを譲ります、欲しい人いますか？,
499,旅行・買い物,晒单,shài dān,購入品を投稿する,買ったものをSNSに投稿すること。,买完就晒单，求夸。/ 買ったらすぐ投稿、褒めて。,
500,旅行・買い物,买家秀,mǎijiā xiù,購入者レビュー写真,購入者が実際に使っている写真。,买家秀和卖家秀差太多了。/ 購入者写真と商品写真は全然違う。,